,대덕구,동구,서구,유성구,중구
2022-02-01,41,38,44,43,42
2022-02-02,26,22,27,25,26
2022-02-03,23,18,22,24,23
2022-02-04,28,21,26,27,27
2022-02-05,28,22,29,27,28
2022-02-06,23,19,24,24,25
2022-02-07,32,24,28,29,32
2022-02-08,39,32,37,39,39
2022-02-09,43,39,46,46,43
2022-02-10,60,56,49,57,52
2022-02-11,81,72,70,78,68
2022-02-12,94,87,85,90,77
2022-02-13,77,65,71,72,68
2022-02-14,66,58,64,64,61
2022-02-15,30,24,30,26,29
2022-02-16,27,21,27,24,28
2022-02-17,32,27,32,31,33
2022-02-18,44,34,39,45,39
2022-02-19,40,36,38,38,41
2022-02-20,24,22,26,24,25
2022-02-21,35,26,31,29,33
2022-02-22,31,25,30,27,32
2022-02-23,29,22,25,24,28
2022-02-24,32,23,28,26,30
2022-02-25,66,60,55,59,59
2022-02-26,68,68,62,64,65
2022-02-27,41,39,44,39,44
2022-02-28,42,30,37,35,43
2022-01-01,30,24,26,26,29
2022-01-02,50,45,44,46,45
2022-01-03,41,35,35,35,39
2022-01-04,38,33,34,34,40
2022-01-05,56,51,49,52,54
2022-01-06,74,61,51,58,59
2022-01-07,77,59,55,62,61
2022-01-08,63,47,45,54,49
2022-01-09,78,75,65,74,73
2022-01-10,113,106,94,107,102
2022-01-11,36,30,32,33,33
2022-01-12,31,23,25,28,27
2022-01-13,35,27,28,28,33
2022-01-14,40,31,32,33,35
2022-01-15,44,35,34,41,38
2022-01-16,41,37,35,41,38
2022-01-17,29,22,23,24,24
2022-01-18,37,31,31,34,37
2022-01-19,50,38,37,43,40
2022-01-20,53,50,49,53,54
2022-01-21,56,47,52,55,51
2022-01-22,52,44,44,53,50
2022-01-23,76,76,65,82,78
2022-01-24,50,38,46,49,43
2022-01-25,28,25,27,31,27
2022-01-26,67,64,67,71,69
2022-01-27,53,47,57,53,54
2022-01-28,38,31,37,35,37
2022-01-29,31,25,28,30,29
2022-01-30,27,25,25,29,24
2022-01-31,28,20,27,29,26
2022-03-01,52,46,50,46,46
2022-03-02,33,26,29,27,30
2022-03-03,54,45,48,45,49
2022-03-04,106,89,96,98,89
2022-03-05,106,101,98,103,100
2022-03-06,36,34,38,39,38
2022-03-07,43,34,38,37,38
2022-03-08,67,52,52,54,54
2022-03-09,79,67,63,66,64
2022-03-10,67,50,54,56,54
2022-03-11,77,63,65,60,64
2022-03-12,67,53,54,53,57
2022-03-13,15,15,15,15,16
2022-03-14,28,21,23,22,25
2022-03-15,43,38,40,34,41
2022-03-16,94,89,86,80,94
2022-03-17,57,60,52,54,55
2022-03-18,6,4,6,4,7
2022-03-19,10,10,12,9,15
2022-03-20,25,24,26,25,27
2022-03-21,32,27,28,28,30
2022-03-22,48,44,40,40,44
2022-03-23,54,49,44,47,45
2022-03-24,60,54,51,50,54
2022-03-25,74,61,64,65,58
2022-03-26,14,10,15,13,13
