,대덕구,동구,서구,유성구,중구
2022-01-01,14,10,11,12,13
2022-01-02,26,24,25,28,24
2022-01-03,16,17,19,18,19
2022-01-04,16,14,15,17,15
2022-01-05,28,25,25,26,27
2022-01-06,36,32,28,32,31
2022-01-07,41,32,32,34,34
2022-01-08,32,27,29,32,27
2022-01-09,47,48,44,51,48
2022-01-10,65,70,62,76,65
2022-01-11,16,13,14,15,14
2022-01-12,14,11,14,13,14
2022-01-13,13,10,12,12,12
2022-01-14,16,12,14,14,15
2022-01-15,22,16,20,20,19
2022-01-16,17,17,17,22,16
2022-01-17,12,9,10,11,11
2022-01-18,14,12,13,14,14
2022-01-19,24,20,21,24,20
2022-01-20,34,31,28,34,29
2022-01-21,37,28,28,32,29
2022-01-22,31,23,25,29,24
2022-01-23,52,49,45,58,51
2022-01-24,32,22,25,31,25
2022-01-25,16,16,16,19,17
2022-01-26,44,44,42,50,40
2022-01-27,34,30,33,33,31
2022-01-28,22,19,21,21,21
2022-01-29,17,14,15,15,15
2022-01-30,15,12,11,13,12
2022-01-31,17,12,17,16,16
2022-02-01,29,26,29,30,27
2022-02-02,16,13,15,15,14
2022-02-03,13,9,12,12,12
2022-02-04,13,11,13,13,13
2022-02-05,10,9,10,10,10
2022-02-06,10,7,10,10,10
2022-02-07,14,10,11,12,13
2022-02-08,20,17,18,20,19
2022-02-09,25,22,23,27,24
2022-02-10,38,30,31,37,32
2022-02-11,54,44,43,52,46
2022-02-12,65,56,56,67,58
2022-02-13,55,41,49,52,44
2022-02-14,45,37,42,46,37
2022-02-15,17,13,16,17,16
2022-02-16,14,12,15,15,14
2022-02-17,18,15,16,18,17
2022-02-18,26,21,23,26,20
2022-02-19,24,24,24,25,23
2022-02-20,12,11,11,12,11
2022-02-21,15,13,16,14,14
2022-02-22,16,14,15,15,15
2022-02-23,13,12,11,11,11
2022-02-24,17,13,15,15,14
2022-02-25,39,38,32,46,33
2022-02-26,37,39,33,47,32
2022-02-27,22,17,18,20,17
2022-02-28,19,12,15,15,15
2022-04-01,8,8,9,5,11
2022-04-02,16,13,16,12,16
2022-04-03,30,22,24,21,24
2022-04-04,43,36,34,31,36
2022-04-05,39,26,29,28,28
2022-04-06,26,20,22,19,22
2022-04-07,21,18,23,17,20
2022-04-08,15,10,12,10,14
2022-04-09,26,19,22,19,22
2022-04-10,18,13,17,13,16
2022-04-11,20,16,18,15,18
2022-04-12,18,12,15,13,15
2022-04-13,7,6,10,5,11
2022-04-14,4,3,5,2,6
2022-04-15,13,9,12,9,13
2022-04-16,22,17,20,18,22
2022-04-17,22,17,21,16,20
2022-04-18,28,22,26,21,22
2022-04-19,25,18,19,17,19
2022-04-20,28,21,25,23,22
2022-04-21,34,23,27,27,25
2022-04-22,26,20,24,20,21
2022-04-23,17,12,18,14,17
2022-04-24,26,20,25,22,23
2022-04-25,29,23,28,25,29
2022-04-26,15,10,15,12,11
2022-04-27,15,14,16,16,17
2022-04-28,18,16,18,18,15
2022-04-29,5,5,7,4,6
2022-04-30,8,6,10,5,10
2022-03-01,31,31,32,32,26
2022-03-02,14,15,14,14,13
2022-03-03,24,25,25,25,23
2022-03-04,37,37,40,38,37
2022-03-05,21,19,18,20,19
2022-03-06,9,9,9,8,10
2022-03-07,18,16,17,16,18
2022-03-08,29,28,30,28,28
2022-03-09,46,41,41,40,39
2022-03-10,35,27,30,31,30
2022-03-11,31,35,37,32,36
2022-03-12,26,29,33,28,32
