연번,"스테이션, 성명(Station)",위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명
1,무역전시관입구(택시승강장),대전광역시 유성구 도룡동 3-8,36.375126,127.3893882,30,대전광역시,30200,유성구,3020012700,도룡동,3020055000,신성동
2,대전컨벤션센터,대전광역시 유성구 도룡동 4-19,36.3750219,127.3916916,30,대전광역시,30200,유성구,3020012700,도룡동,3020055000,신성동
3,한밭수목원1,대전광역시 서구 만년동 396,36.3679309,127.3877917,30,대전광역시,30170,서구,3017012800,만년동,3017065000,만년동
4,초원아파트(104동 버스정류장),대전광역시 서구 만년동 401,36.3679892,127.3795233,30,대전광역시,30170,서구,3017012800,만년동,3017065000,만년동
5,둔산대공원 입구(버스정류장),대전광역시 서구 둔산2동 1521-10,36.3553129,127.3845828,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동
6,백합네거리(농협),대전광역시 서구 월평2동 266,36.3616964,127.3751841,30,대전광역시,30170,서구,3017011300,월평동,3017058700,월평2동
7,정부청사 입구(대덕대로),대전광역시 서구 둔산2동 920-2,36.351116,127.386089,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동
8,정부청사 입구(샘머리),대전광역시 서구 둔산2동 1518,36.3553129,127.3845828,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동
9,(운영중지)황실아파트(성룡초등학교),대전광역시 서구 월평2동 304,36.3616964,127.3751841,30,대전광역시,30170,서구,3017011300,월평동,3017058800,월평3동
10,만년동 KBS 부근(기업은행),대전광역시 서구 만년동 300,36.3703651,127.3807021,30,대전광역시,30170,서구,3017012800,만년동,3017065000,만년동
11,누리아파트(후문 버스정류장),대전광역시 서구 월평3동 301,36.3600526,127.3688129,30,대전광역시,30170,서구,3017011300,월평동,3017058800,월평3동
12,정부청사역 4번출구,대전광역시 서구 둔산2동 949-1,36.3553129,127.3845828,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동
