id,version,station_name,gu,dong,latitude,longitude,use
1,타슈2,타슈관제센터,유성구,문지동,36.389501,127.409377,Y
2,타슈2,시즌2 임시대여소,서구,둔산동,36.387221,127.351720,N
3,타슈2,탄방동 한사랑병원,서구,탄방동,36.348446,127.390052,Y
4,타슈2,한가람아파트 2동,서구,탄방동,36.348201,127.390409,Y
5,타슈2,목련아파트 103동,서구,탄방동,36.350037,127.390402,Y
6,타슈2,크로바아파트 103동,서구,둔산동,36.352480,127.390385,Y
7,타슈2,한마루아파트 107동,서구,탄방동,36.354587,127.390468,Y
8,타슈2,농협 둔산중앙지점,서구,둔산동,36.358551,127.390102,Y
9,타슈2,홈플러스 대전둔산지점,서구,둔산동,36.356220,127.390220,N
10,타슈2,둔산동 샤크존,서구,둔산동,36.348853,127.386433,Y
11,타슈2,공무원연금공단 대전지부,서구,탄방동,36.347026,127.386925,Y
12,타슈2,시청역 8번출구,서구,둔산동,36.350583,127.386942,Y
13,타슈2,세이브존,서구,둔산동,36.351954,127.395413,Y
14,타슈2,가람아파트 상가,서구,둔산동,36.355878,127.398305,Y
15,타슈2,수정타운아파트 1동,서구,탄방동,36.358282,127.395424,Y
16,타슈2,문정어린이공원 내,서구,둔산동,36.349982,127.399127,Y
17,타슈2,한아름아파트 108동,서구,월평동,36.363321,127.374482,Y
18,타슈2,다모아아파트 뒤 육교밑,서구,월평동,36.363085,127.366753,Y
19,타슈2,은평공원 내 테니스장 입구,서구,월평동,36.358670,127.363647,Y
20,타슈2,만년동 기업은행,서구,만년동,36.368581,127.379974,Y
21,타슈2,선사유적지 건너편(정부청사쪽),서구,둔산동,36.361063,127.379685,Y
22,타슈2,유성한가족 요양병원 소공원,유성구,봉명동,36.355079,127.350214,Y
23,타슈2,서래갈매기 한밭대점,유성구,덕명동,36.347731,127.301082,Y
24,타슈2,덕명2어린이공원,유성구,덕명동,36.349122,127.298730,Y
25,타슈2,둔산동 경성큰마을 네거리,서구,둔산동,36.348526,127.377202,Y
26,타슈2,미호동 넷제로 공판장,대덕구,미호동,36.466409,127.468306,Y
27,타슈2,과선교 버스정류장(128),대덕구,신탄진동,36.442713,127.429579,Y
28,타슈2,대덕구청 별관,대덕구,오정동,36.346742,127.414613,N
29,타슈2,한일방전,대덕구,오정동,36.352175,127.413985,Y
30,타슈2,동구 보건지소,동구,삼성동,36.342527,127.420480,Y
31,타슈2,도룡동 우성아파트,유성구,도룡동,36.388274,127.381560,Y
32,타슈2,관저더샵 109동,서구,관저동,36.293563,127.328340,Y
33,타슈2,사정동 송원칼국수,중구,사정동,36.295814,127.389263,Y
34,타슈2,안영동 농협하나로마트,중구,안영동,36.288285,127.379374,Y
35,타슈2,문화동 다이소,중구,문화동,36.315527,127.408232,Y
36,타슈2,문화동 홈플러스,중구,문화동,36.320762,127.407117,Y
37,타슈2,서대전 KT,중구,문화동,36.321226,127.413759,Y
38,타슈2,서대전공원 야외공연장 뒤편,중구,문화동,36.320465,127.410680,Y
39,타슈2,문화초네거리(219),중구,유천동,36.313097,127.399471,Y
40,타슈2,머티네거리(220),중구,산성동,36.309219,127.388027,Y
41,타슈2,대전중앙교회(218),중구,대사동,36.318201,127.416864,Y
42,타슈2,오류동 하나은행,중구,오류동,36.326435,127.407365,Y
43,타슈2,중구청(중구청역 1번출구),중구,대흥동,36.325520,127.420748,Y
44,타슈2,대전고1,중구,대흥동,36.322831,127.424108,Y
45,타슈2,대사동 만제한의원(192),중구,대사동,36.317763,127.425594,Y
46,타슈2,보문산 공영주차장,중구,대사동,36.311962,127.420543,Y
47,타슈2,청란여고 방면 부사오거리 정류장(172),중구,부사동,36.313372,127.433870,Y
48,타슈2,대전남부여성가족원(103),동구,대성동,36.302280,127.459788,Y
49,타슈2,그린브라우니 가오점,동구,가오동,36.307578,127.454993,Y
50,타슈2,선화참좋은아파트(유안타증권)(142),중구,선화동,36.331735,127.422352,Y
51,타슈2,목동 한사랑아파트 109동(247),중구,목동,36.333186,127.412241,Y
52,타슈2,신흥마을아파트 102동(191),동구,신흥동,36.321137,127.444912,Y
53,타슈2,판암역 4번출구,동구,판암동,36.317423,127.459736,Y
54,타슈2,대전대 후문(206),동구,용운동,36.335168,127.456467,Y
55,타슈2,대동역 4번출구(153),동구,대동,36.329639,127.442332,Y
56,타슈2,이스트시티 103동,동구,대동,36.328064,127.439434,Y
57,타슈2,천동초등학교(245),동구,천동,36.316754,127.444012,Y
58,타슈2,천동 위드힐아파트 상가동,동구,천동,36.316432,127.443883,Y
59,타슈2,천동 휴먼시아 201동 입구,동구,천동,36.316444,127.447992,Y
60,타슈2,효동 현대아파트 103동 건너편,동구,효동,36.318477,127.442604,Y
61,타슈2,인동네거리 신협,동구,인동,36.321967,127.438045,Y
62,타슈2,홍도동새마을금고 본점 건너편,동구,홍도동,36.346767,127.425019,Y
63,타슈2,홍도동새마을금고 홍도지점,동구,홍도동,36.346455,127.430473,Y
64,타슈2,삼성동 한밭자이아파트 104동 정류장,동구,삼성동,36.341048,127.425233,Y
65,타슈2,대전역(대한통운 건너편)(152),동구,정동,36.332329,127.431977,Y
66,타슈2,삼성네거리(KT&G 동대전지사)(169),동구,삼성동,36.336373,127.430173,Y
67,타슈2,솔브릿지 국제대학(243),동구,삼성동,36.339134,127.433092,Y
68,타슈2,가양비래공원네거리(비래동 현대아파트)(223),대덕구,비래동,36.353363,127.454036,Y
69,타슈2,복합터미널(118),동구,용전동,36.348687,127.434839,Y
70,타슈2,동부네거리(117),동구,용전동,36.350620,127.440334,Y
71,타슈2,용전동 천주교회(119),동구,용전동,36.349346,127.432342,Y
72,타슈2,한국통신 용전지점(120),동구,용전동,36.352852,127.432283,Y
73,타슈2,한전 대전세종충남지역본부 건너편(115),동구,용전동,36.357341,127.434212,Y
74,타슈2,홈플러스(동대전점)(116),동구,용전동,36.355292,127.436636,Y
75,타슈2,용전동 홈플러스,동구,용전동,36.354062,127.437939,Y
76,타슈2,용전네거리 몽벨,동구,용전동,36.358518,127.432426,Y
77,타슈2,동대전새마을금고 용전지점,동구,용전동,36.353727,127.432766,Y
78,타슈2,솔랑마을 아파트 상가,동구,삼성동,36.342778,127.423590,Y
79,타슈2,오정동 한남육교 아래,대덕구,오정동,36.350763,127.419203,Y
80,타슈2,한남대 정문 건너편,대덕구,오정동,36.351508,127.421384,Y
81,타슈2,한남대학교 정류장,대덕구,오정동,36.351517,127.422724,Y
82,타슈2,동광장 중고 휠타이어,동구,소제동,36.333743,127.439426,Y
83,타슈2,대동역 1번출구,동구,대동,36.329150,127.442927,Y
84,타슈2,신흥역 3번출구,동구,판암동,36.320110,127.448328,Y
85,타슈2,충대정문오거리2(정문)(56),유성구,궁동,36.361611,127.345168,Y
86,타슈2,유성숲오투그란데3차아파트 501동,유성구,덕명동,36.346087,127.301116,Y
87,타슈2,계산동 오투그란데리빙포레아파트 301동,유성구,계산동,36.343282,127.303598,Y
88,타슈2,계산동 오투그란데미학아파트 212동,유성구,계산동,36.343094,127.303332,Y
89,타슈2,한밭대학교 학생동아리관,유성구,덕명동,36.354468,127.301220,Y
90,타슈2,덕명동 하우스토리아파트 정류장,유성구,덕명동,36.358214,127.303990,Y
91,타슈2,목련아파트 301동 정류장,서구,둔산동,36.349129,127.392771,Y
92,타슈2,한가람아파트 9동 정류장,서구,탄방동,36.348869,127.392102,Y
93,타슈2,갈마역 4번출구,서구,월평동,36.357967,127.372948,Y
94,타슈2,갈마역 2번출구,서구,갈마동,36.357393,127.372060,Y
95,타슈2,갈마역 1번출구,서구,갈마동,36.357284,127.372839,Y
96,타슈2,월평역 1번출구,서구,월평동,36.357998,127.364775,Y
97,타슈2,월평역 2번출구,서구,월평동,36.358149,127.363708,Y
98,타슈2,진달래아파트(107동) 정류장(34),서구,월평동,36.358172,127.366554,Y
99,타슈2,파랑새아파트 동측입구,서구,둔산동,36.356859,127.376464,Y
100,타슈2,대전도시철도공사,서구,월평동,36.348928,127.353338,Y
101,타슈2,대전일보(41),서구,월평동,36.353493,127.360587,Y
102,타슈2,갈마네거리(42),서구,갈마동,36.353087,127.368377,Y
103,타슈2,월평타운(40),서구,월평동,36.352915,127.356225,Y
104,타슈2,갈마1동 행정복지센터,서구,갈마동,36.350388,127.368016,Y
105,타슈2,갤러리휴리움 101동,서구,갈마동,36.350976,127.368328,Y
106,타슈2,갈마아파트 한마음동산(222),서구,갈마동,36.344292,127.368321,Y
107,타슈2,중앙시장 공영주차장,동구,원동,36.327387,127.433162,Y
108,타슈2,석봉동 서희스타힐스아파트 상가,대덕구,석봉동,36.453755,127.424034,Y
109,타슈2,석봉동 봉주르카운티 A동,대덕구,석봉동,36.447729,127.421224,Y
110,타슈2,덕암동 금호아파트,대덕구,덕암동,36.443567,127.426774,Y
111,타슈2,덕암동 새뜸어린이공원 내,대덕구,덕암동,36.443673,127.421251,Y
112,타슈2,덕암동 신탄주택,대덕구,덕암동,36.442998,127.427668,Y
113,타슈2,신탄진동 이엘치과병원,대덕구,신탄진동,36.447218,127.429807,Y
114,타슈2,동일스위트1단지아파트 104동,대덕구,신탄진동,36.453570,127.430378,Y
115,타슈2,동일스위트1단지아파트 103동,대덕구,신탄진동,36.452769,127.430457,Y
116,타슈2,탄방동 도산서원(용문네거리 방면) 정류장,서구,탄방동,36.343547,127.399822,Y
117,타슈2,탄방동 e편한세상아파트(용문네거리 방면) 정류장,서구,탄방동,36.341426,127.397086,Y
118,타슈2,탄방동 e편한세상아파트 109동,서구,탄방동,36.341160,127.394354,Y
119,타슈2,탄방동 e편한세상아파트 102동,서구,탄방동,36.342649,127.392663,Y
120,타슈2,오류동 주류공동판매장집배송센타,중구,오류동,36.330252,127.401553,Y
121,타슈2,오류동 보령석재,중구,오류동,36.330004,127.401947,N
122,타슈2,용문동 리베라아이누리1단지아파트 101동,서구,용문동,36.335689,127.396120,Y
123,타슈2,순복음교회(수침교)(111),서구,용문동,36.335779,127.396610,Y
124,타슈2,용문역 3번출구(110),서구,용문동,36.337631,127.392142,Y
125,타슈2,래미안아파트1단지 115동 건너편,서구,가장동,36.331987,127.385486,Y
126,타슈2,롯데백화점 허리사랑병원,서구,괴정동,36.339836,127.391096,Y
127,타슈2,롯데백화점 건너편 골드뱅크,서구,탄방동,36.341391,127.389783,Y
128,타슈2,서부농협본점(109),서구,탄방동,36.342308,127.387883,Y
129,타슈2,탄방지하차도(53),서구,탄방동,36.343318,127.383435,Y
130,타슈2,대전대학교 대전한방병원 정류장,서구,둔산동,36.345996,127.379133,Y
131,타슈2,경성큰마을아파트(46),서구,갈마동,36.347661,127.377232,Y
132,타슈2,향촌아파트 101동,서구,둔산동,36.352270,127.376113,Y
133,타슈2,계룡로 대전일보 건너편(갈마동방향),서구,월평동,36.354520,127.365583,Y
134,타슈2,월평동 한국마사회 빌딩,서구,월평동,36.356452,127.363784,Y
135,타슈2,대전과학기술대 정문 건너편,서구,복수동,36.304837,127.374705,Y
136,타슈2,대전과학기술대 정문,서구,복수동,36.304233,127.375310,Y
137,타슈2,용산동 미래남교(현대아울렛 방면),유성구,용산동,36.422576,127.396141,Y
138,타슈2,관평동 테크노타워,유성구,관평동,36.424876,127.393384,Y
139,타슈2,유성구청소년수련관,유성구,죽동,36.380623,127.323343,Y
140,타슈2,침신대네거리 롯데하이마트,유성구,하기동,36.384798,127.320819,Y
141,타슈2,문평동 3.4공단내 새일근린공원,대덕구,문평동,36.446351,127.403352,Y
142,타슈2,문평동 3.4공단내 문평근린공원,대덕구,문평동,36.443165,127.398440,Y
143,타슈2,목상동 상록수아파트 101동 정류장 ,대덕구,목상동,36.449166,127.412828,Y
144,타슈2,구)대덕경찰서(문평동)(123),대덕구,문평동,36.446420,127.406535,Y
145,타슈2,대덕산업단지 BRT정류장(233),대덕구,신일동,36.438440,127.395090,Y
146,타슈2,신일동 삼양패키징 대전2공장 정류장,대덕구,신일동,36.444337,127.404176,Y
147,타슈2,송강체육관(162),유성구,송강동,36.431706,127.387383,Y
148,타슈2,송강근린공원 청솔한양아파트 206동 건너편,유성구,송강동,36.435157,127.383983,Y
149,타슈2,롯데마트(관평점)(164),유성구,관평동,36.428038,127.386658,Y
150,타슈2,롯데마트대덕점(관평중학교 방면) 정류장,유성구,관평동,36.426897,127.389510,Y
151,타슈2,관평동 티플라자,유성구,관평동,36.425805,127.389969,Y
152,타슈2,초록마을아파트3단지(217),서구,복수동,36.300386,127.378899,Y
153,타슈2,삼성동 한밭빌라,동구,삼성동,36.341626,127.414795,Y
154,타슈2,중촌동 금호아파트 8동,중구,중촌동,36.340306,127.406599,Y
155,타슈2,외삼네거리 603동(214),유성구,반석동,36.395288,127.309988,Y
156,타슈2,반석마을8단지아파트 804동,유성구,반석동,36.394052,127.311059,Y
157,타슈2,반석마을8단지아파트 807동 정류장,유성구,반석동,36.395188,127.312011,Y
158,타슈2,반석역 4번출구,유성구,반석동,36.392691,127.313820,Y
159,타슈2,반석역 3번출구,유성구,반석동,36.392270,127.313818,Y
160,타슈2,반석역 1번출구,유성구,반석동,36.391581,127.314564,Y
161,타슈2,반석역 1번출구(179),유성구,반석동,36.391285,127.314854,Y
162,타슈2,반석역 6번출구,유성구,반석동,36.392286,127.314927,Y
163,타슈2,반석역 5번출구,유성구,반석동,36.392494,127.314722,Y
164,타슈2,반석마을5단지아파트 504동,유성구,반석동,36.390051,127.309719,Y
165,타슈2,노은3지구 영무예다음(102동)(250),유성구,지족동,36.374482,127.305412,Y
166,타슈2,노은3지구 트리풀시티포레(105동)(228),유성구,지족동,36.381056,127.305833,Y
167,타슈2,노은새미래숲2단지아파트 201동,유성구,지족동,36.381316,127.302470,Y
168,타슈2,노은3동 행정복지센터(201),유성구,지족동,36.386728,127.308320,Y
169,타슈2,노은해랑숲마을6단지아파트 607동,유성구,지족동,36.385028,127.307980,Y
170,타슈2,노은해랑숲마을5단지아파트 506동 건너편,유성구,지족동,36.386860,127.305524,Y
171,타슈2,송림마을1단지호반아파트 107동 건너편,유성구,반석동,36.389390,127.316354,Y
172,타슈2,지족동 인앤인아파트 101동,유성구,지족동,36.385442,127.318512,Y
