station,cluster
1,3
2,3
3,34
4,23
5,23
6,23
7,23
8,23
9,23
10,23
11,22
12,23
13,27
14,28
15,28
16,28
17,30
18,30
19,30
20,28
21,6
22,6
23,6
24,5
25,6
26,4
27,4
28,3
29,23
30,23
31,8
32,8
33,32
34,32
35,22
36,27
37,27
38,31
39,31
40,31
41,31
42,33
43,22
44,28
45,28
46,26
47,26
48,26
49,29
50,29
51,28
52,26
53,26
54,10
55,10
56,10
57,-1
58,-1
59,13
60,13
61,-1
62,12
63,17
64,17
65,12
66,12
67,12
68,12
69,12
70,12
71,-1
72,-1
73,-1
74,-1
75,-1
76,-1
77,-1
78,-1
79,-1
80,-1
81,-1
82,-1
83,44
84,43
85,43
86,43
87,43
88,43
89,43
90,42
91,42
92,42
93,46
94,49
95,49
96,49
97,48
98,48
99,48
100,48
101,48
102,48
103,48
104,4
105,6
106,6
107,6
108,7
109,26
110,25
111,25
112,24
113,24
114,44
115,52
116,52
117,53
118,53
119,53
120,52
121,53
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,45
134,45
135,46
136,40
137,47
138,47
139,46
140,40
141,39
142,39
143,39
144,-1
145,12
146,-1
147,-1
148,12
149,12
150,-1
151,55
152,50
153,-1
154,-1
155,-1
156,41
157,41
158,5
159,5
160,5
161,5
162,0
163,0
164,1
165,1
166,56
167,50
168,51
169,50
170,40
171,39
172,37
173,22
174,36
175,19
176,19
177,19
178,14
179,16
180,2
181,2
182,-1
183,-1
184,-1
185,-1
186,34
187,12
188,20
189,11
190,11
191,56
192,37
193,38
194,38
195,-1
196,-1
197,35
198,35
199,14
200,18
201,16
202,-1
203,9
204,38
205,38
206,-1
207,9
208,-1
209,-1
210,-1
211,-1
212,-1
213,18
214,16
215,14
216,19
217,21
218,47
219,-1
220,-1
221,33
222,33
223,-1
224,-1
225,54
226,-1
227,-1
228,15
229,-1
230,16
231,-1
232,-1
233,-1
234,-1
235,-1
236,54
237,-1
238,-1
239,20
240,21
241,-1
242,46
243,51
244,55
245,56
246,-1
247,-1
248,38
249,20
250,15
251,20
252,23
253,36
254,21
255,-1
256,-1
257,20
258,5
259,-1
260,-1
261,7
262,16
