,station,cluster
0,1,8
1,2,3
2,3,3
3,4,0
4,5,8
5,6,5
6,7,1
7,8,0
8,9,3
9,10,3
10,11,0
11,12,8
12,13,0
13,14,1
14,15,3
15,16,0
16,17,1
17,18,8
18,19,1
19,20,0
20,21,8
21,22,8
22,23,8
23,24,8
24,25,8
25,26,8
26,27,8
27,28,6
28,29,2
29,30,3
30,31,3
31,32,3
32,33,5
33,34,2
34,35,5
35,36,2
36,37,2
37,38,0
38,39,6
39,40,4
40,41,1
41,42,5
42,43,4
43,44,8
44,45,2
45,46,4
46,47,8
47,48,8
48,49,3
49,50,2
50,51,0
51,52,2
52,53,4
53,54,6
54,55,1
55,56,3
56,57,5
57,58,1
58,59,3
59,60,1
60,61,1
61,62,5
62,63,2
63,64,2
64,65,2
65,66,5
66,67,4
67,68,2
68,69,0
69,70,4
70,71,9
71,72,2
72,73,6
73,74,3
74,75,0
75,76,7
76,77,4
77,78,2
78,79,3
79,80,8
80,81,5
81,82,7
82,83,9
83,84,5
84,85,1
85,86,5
86,87,0
87,88,5
88,89,5
89,90,5
90,91,0
91,92,5
92,93,3
93,94,8
94,95,0
95,96,2
96,97,8
97,98,1
98,99,8
99,100,1
100,101,7
101,102,5
102,103,9
103,104,8
104,105,3
105,106,2
106,107,6
107,108,3
108,109,5
109,110,3
110,111,9
111,112,5
112,113,5
113,114,5
114,115,4
115,116,8
116,117,3
117,118,1
118,119,5
119,120,6
120,121,9
121,122,9
122,123,8
123,124,9
124,125,5
125,126,5
126,127,3
127,128,1
128,129,7
129,130,9
130,131,8
131,132,1
132,133,0
133,134,5
134,135,3
135,136,8
136,137,4
137,138,5
138,139,8
139,140,6
140,141,8
141,142,1
142,143,1
143,144,3
144,145,6
145,146,6
146,147,4
147,148,2
148,149,2
149,150,5
150,151,0
151,152,8
152,153,3
153,154,3
154,155,9
155,156,9
156,157,0
157,158,8
158,159,7
159,160,0
160,161,6
161,162,9
162,163,2
163,164,3
164,165,5
165,166,1
166,167,1
167,168,5
168,169,1
169,170,6
170,171,5
171,172,0
172,173,1
173,174,3
174,175,1
175,176,3
176,177,4
177,178,3
178,179,1
179,180,6
180,181,5
181,182,7
182,183,3
183,184,6
184,185,6
185,186,3
186,187,0
187,188,4
188,189,6
189,190,0
190,191,9
191,192,6
192,193,0
193,194,5
194,195,7
195,196,9
196,197,9
197,198,5
198,199,3
199,200,5
200,201,3
201,202,5
202,203,0
203,204,9
204,205,1
205,206,7
206,207,9
207,208,7
208,209,9
209,210,9
210,211,1
211,212,0
212,213,6
213,214,2
214,215,2
215,216,4
216,217,5
217,218,7
218,219,0
219,220,9
220,221,2
221,222,4
222,223,7
223,224,9
224,225,6
225,226,5
226,227,6
227,228,7
228,229,4
229,230,4
230,231,9
231,232,6
232,233,8
233,234,9
234,235,7
235,236,9
236,237,2
237,238,2
238,239,3
239,240,7
240,241,3
241,242,1
242,243,1
243,244,7
244,245,0
245,246,2
246,247,4
247,248,0
248,249,0
249,250,7
250,251,6
251,252,8
252,253,3
253,254,7
254,255,7
255,256,3
256,257,8
257,258,6
258,259,7
259,260,3
260,261,3
261,262,0
