index,station,cluster
0,1,1
1,2,8
2,3,6
3,4,9
4,5,8
5,6,9
6,7,1
7,8,9
8,9,0
9,10,8
10,11,9
11,12,3
12,13,0
13,14,1
14,15,5
15,16,9
16,17,1
17,18,3
18,19,1
19,20,8
20,21,10
21,22,1
22,23,1
23,24,3
24,25,3
25,26,3
26,27,3
27,28,9
28,29,0
29,30,1
30,31,6
31,32,1
32,33,9
33,34,0
34,35,9
35,36,9
36,37,4
37,38,4
38,39,8
39,40,9
40,41,5
41,42,5
42,43,4
43,44,3
44,45,0
45,46,4
46,47,3
47,48,8
48,49,1
49,50,4
50,51,4
51,52,11
52,53,10
53,54,7
54,55,8
55,56,8
56,57,9
57,58,5
58,59,1
59,60,1
60,61,1
61,62,9
62,63,4
63,64,4
64,65,4
65,66,9
66,67,11
67,68,4
68,69,0
69,70,9
70,71,0
71,72,0
72,73,7
73,74,4
74,75,4
75,76,2
76,77,11
77,78,9
78,79,6
79,80,10
80,81,9
81,82,2
82,83,0
83,84,5
84,85,5
85,86,9
86,87,9
87,88,5
88,89,5
89,90,9
90,91,9
91,92,6
92,93,5
93,94,9
94,95,6
95,96,7
96,97,10
97,98,1
98,99,8
99,100,1
100,101,11
101,102,9
102,103,7
103,104,3
104,105,6
105,106,0
106,107,7
107,108,5
108,109,9
109,110,6
110,111,8
111,112,5
112,113,9
113,114,5
114,115,4
115,116,10
116,117,1
117,118,8
118,119,9
119,120,7
120,121,6
121,122,6
122,123,3
123,124,5
124,125,9
125,126,9
126,127,8
127,128,5
128,129,10
129,130,6
130,131,8
131,132,8
132,133,5
133,134,5
134,135,1
135,136,8
136,137,4
137,138,6
138,139,1
139,140,8
140,141,9
141,142,8
142,143,1
143,144,5
144,145,9
145,146,4
146,147,4
147,148,4
148,149,4
149,150,9
150,151,7
151,152,1
152,153,9
153,154,5
154,155,5
155,156,5
156,157,0
157,158,3
158,159,10
159,160,0
160,161,0
161,162,5
162,163,0
163,164,8
164,165,9
165,166,5
166,167,1
167,168,9
168,169,1
169,170,8
170,171,9
171,172,9
172,173,8
173,174,9
174,175,5
175,176,6
176,177,4
177,178,1
178,179,1
179,180,7
180,181,5
181,182,10
182,183,1
183,184,7
184,185,4
185,186,6
186,187,9
187,188,11
188,189,9
189,190,9
190,191,5
191,192,9
192,193,0
193,194,0
194,195,2
195,196,6
196,197,5
197,198,5
198,199,9
199,200,5
200,201,6
201,202,9
202,203,9
203,204,7
204,205,9
205,206,10
206,207,5
207,208,4
208,209,5
209,210,0
210,211,8
211,212,5
212,213,7
213,214,4
214,215,4
215,216,4
216,217,6
217,218,10
218,219,0
219,220,5
220,221,0
221,222,11
222,223,2
223,224,6
224,225,7
225,226,5
226,227,7
227,228,2
228,229,2
229,230,4
230,231,6
231,232,7
232,233,10
233,234,5
234,235,2
235,236,0
236,237,0
237,238,4
238,239,9
239,240,11
240,241,6
241,242,8
242,243,1
243,244,11
244,245,7
245,246,0
246,247,4
247,248,0
248,249,9
249,250,2
250,251,4
251,252,3
252,253,6
253,254,10
254,255,2
255,256,6
256,257,3
257,258,7
258,259,2
259,260,5
260,261,1
261,262,4
