지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),현상번호(국내식),지면온도(°C)
133,대전,2022-01-01 00:00,-7.2,,1.3,61,,,-7
133,대전,2022-01-01 01:00,-8,,1.8,67,,,-7.5
133,대전,2022-01-01 02:00,-8.4,,1.6,68,,,-7.8
133,대전,2022-01-01 03:00,-8.6,,1.2,69,,,-8.2
133,대전,2022-01-01 04:00,-8.9,,.9,72,,,-8.5
133,대전,2022-01-01 05:00,-9.7,,.7,73,,,-8.9
133,대전,2022-01-01 06:00,-9.7,,.1,75,,,-9
133,대전,2022-01-01 07:00,-9.9,,.2,77,,,-9
133,대전,2022-01-01 08:00,-9.8,,1.1,77,0,,-9
133,대전,2022-01-01 09:00,-8.4,,.7,74,.9,,-6.9
133,대전,2022-01-01 10:00,-5.1,,1.4,53,1,,-.6
133,대전,2022-01-01 11:00,-2.7,,1.8,40,1,,1.7
133,대전,2022-01-01 12:00,-.8,,1.1,35,1,,4.6
133,대전,2022-01-01 13:00,.4,,.9,30,1,,5.4
133,대전,2022-01-01 14:00,.8,,2.4,34,1,,6.6
133,대전,2022-01-01 15:00,1.3,,2.1,32,1,,5.8
133,대전,2022-01-01 16:00,1.2,,2.2,33,1,,2.1
133,대전,2022-01-01 17:00,.1,,1.4,37,.7,,-.7
133,대전,2022-01-01 18:00,-1.4,,1.5,40,0,,-2.1
133,대전,2022-01-01 19:00,-2.1,,1.1,44,,,-3
133,대전,2022-01-01 20:00,-2.8,,1.1,48,,,-3.7
133,대전,2022-01-01 21:00,-3.5,,2,53,,,-4.2
133,대전,2022-01-01 22:00,-4,,.3,54,,,-4.8
133,대전,2022-01-01 23:00,-4.3,,.3,57,,,-4.4
133,대전,2022-01-02 00:00,-4.3,,.8,58,,,-3.6
133,대전,2022-01-02 01:00,-4.5,,.9,59,,,-4.4
133,대전,2022-01-02 02:00,-5,,1,63,,,-5.8
133,대전,2022-01-02 03:00,-5.5,,.5,65,,,-6.4
133,대전,2022-01-02 04:00,-5.9,,1.2,69,,,-6.6
133,대전,2022-01-02 05:00,-6,,.1,67,,,-6.6
133,대전,2022-01-02 06:00,-5.7,,.7,71,,,-4.3
133,대전,2022-01-02 07:00,-4.8,,1.1,68,,05,-3.1
133,대전,2022-01-02 08:00,-4.3,,1,67,0,05,-4
133,대전,2022-01-02 09:00,-3.5,0,1,65,.2,,-1.7
133,대전,2022-01-02 10:00,-2.6,,.6,64,0,05,-1.1
133,대전,2022-01-02 11:00,-.1,,1.7,63,.1,,2.5
133,대전,2022-01-02 12:00,2,0,1,57,.3,,3.8
133,대전,2022-01-02 13:00,5.3,,3,54,.9,40,7.5
133,대전,2022-01-02 14:00,6.1,,3.3,49,1,40,7.3
133,대전,2022-01-02 15:00,6.2,,3.7,36,1,40,6.2
133,대전,2022-01-02 16:00,5.8,,3.8,37,1,40,3.4
133,대전,2022-01-02 17:00,4.3,,3.7,39,.7,40,-.6
133,대전,2022-01-02 18:00,2.4,,2.7,41,0,40,-1.2
133,대전,2022-01-02 19:00,.1,,2.9,62,,40,-2.5
133,대전,2022-01-02 20:00,-1,,1.8,67,,40,-3.2
133,대전,2022-01-02 21:00,-1.7,,1.8,62,,,-4
133,대전,2022-01-02 22:00,-2.6,,1.2,65,,,-4.7
133,대전,2022-01-02 23:00,-3,,1.4,66,,,-5.2
133,대전,2022-01-03 00:00,-3.7,,1.9,71,,,-5.4
133,대전,2022-01-03 01:00,-4.5,,1.3,73,,,-6.2
133,대전,2022-01-03 02:00,-5.2,,1.5,76,,,-6.7
133,대전,2022-01-03 03:00,-5.8,,0,76,,,-7.1
133,대전,2022-01-03 04:00,-6.3,,.7,80,,,-7.3
133,대전,2022-01-03 05:00,-6.8,,1.3,82,,,-7.7
133,대전,2022-01-03 06:00,-7,,.4,83,,,-8
133,대전,2022-01-03 07:00,-7.6,,.6,83,,19,-8.4
133,대전,2022-01-03 08:00,-7.8,,.7,86,0,19,-8.3
133,대전,2022-01-03 09:00,-6.2,,1.1,83,.9,19,-5.9
133,대전,2022-01-03 10:00,-3.8,,.7,74,1,,-.3
